1. To KILL A MOCKING BIRD , FANTASY
2. 1984 , MYSTERY
3. HARRY POTTER AND THE PHILOSOPHER STONE , ADVENTURE FICTION
4. THE LORD OF THE RINGS , FANTASY
5. THE GREAT GATSBY , MYSTERY
6. PRIDE AND PREJUDICE , YOUNG ADULT FICTION
7. THE DIARY OF A YOUNG GIRL , SPECULATIVE FICTION
8. THE BOOK THIEF , MYSTERY
9. THE HOBBIT , FANTASY
10. LITTLE WOMAN , SPECULATIVE FICTION
11. FAHRENHEIT 451 , HORROR FICTION
12. JANE EYRE , MYSTERY
13. ANIMAL FARM , CHILDREN FICTION
14. GONE WITH THE WIND , FANTASY
15. THE CATCHER IN THE RYE , MYSTERY
16. CHARLOTTES WEB , FANTASY
17. THE LION,ROMANCE , MYSTERY
18. THE GRAPES OF WRATH , FANTASY
19. LORD OF THE FLIES , YOUNG ADULT FICTION
20. THE KITE RUNNER , CHILDRENS FICTION
21. OF MICE AND MEN , CHILDRENS FICTION
22. A TALE OF TWO CITIES , FANTASY
23. ROMEO AND JULIET , FAMILY SAGA
24. THE HITCHHIKERS GUIDE TO GALAXY , FANTASY
25. WUTHERING HEIGHTS , MYSTERY
26. THE COLOR PURPLE , CHILDRENS FICTION
27. ALICE IN WONDERLAND , CHILDRENS FICTION
28. FRANKENSTEIN , YOUNG ADULT FICTION
29. THE ADVENTURES OF HUCKLEBERRY FINN , MYSTERY
30. SLAUGHTERHOUSE-FIVE , HORROR FICTION
